time	manip	gran	press	averat	laba	proba	StZn
1	10000	100000	1200	100000	100000	100000	100000	
2	10000	100000	1200	100000	100000	100000	100000	
3	10000	100000	1200	100000	100000	100000	100000	
4	10000	100000	1200	100000	100000	100000	100000	
5	10000	100000	1200	100000	100000	100000	100000	
6	10000	100000	1200	100000	100000	100000	100000	
7	10000	100000	1200	100000	100000	100000	100000	
8	10000	100000	1200	100000	100000	100000	100000	
9	10000	100000	1200	100000	100000	100000	100000	
10	10000	100000	1200	100000	100000	100000	100000	
11	10000	100000	1200	100000	100000	100000	100000	
12	10000	100000	1200	100000	100000	100000	100000	
13	10000	100000	1200	100000	100000	100000	100000	
14	10000	100000	1200	100000	100000	100000	100000	
15	10000	100000	1200	100000	100000	100000	100000	
16	10000	100000	1200	100000	100000	100000	100000	
17	10000	100000	1200	100000	100000	100000	100000	
18	10000	100000	1200	100000	100000	100000	100000	
19	10000	100000	1200	100000	100000	100000	100000	
20	10000	100000	1200	100000	100000	100000	100000	
21	10000	100000	1200	100000	100000	100000	100000	
22	10000	100000	1200	100000	100000	100000	100000	
23	10000	100000	1200	100000	100000	100000	100000	
24	10000	100000	1200	100000	100000	100000	100000	
25	10000	100000	1200	100000	100000	100000	100000	
26	10000	100000	1200	100000	100000	100000	100000	
27	10000	100000	1200	100000	100000	100000	100000	
28	10000	100000	1200	100000	100000	100000	100000	
29	10000	100000	1200	100000	100000	100000	100000	
30	10000	99780	1200	100000	100000	100000	100000	
31	10000	99780	1200	100000	100000	100000	99939	
32	10000	99780	1200	100000	100000	100000	99939	
33	10000	99780	1200	100000	100000	100000	99939	
34	10000	99780	1200	100000	100000	100000	99939	
35	10000	99780	1200	100000	100000	100000	99939	
36	10000	99780	1200	100000	100000	100000	99939	
37	10000	99780	1200	100000	100000	100000	99939	
38	10000	99780	1200	100000	100000	100000	99939	
39	10000	99780	1200	100000	100000	100000	99939	
40	10000	99780	1200	100000	100000	100000	99939	
41	10000	99780	1200	100000	100000	100000	99939	
42	10000	99780	1200	100000	100000	100000	99939	
43	10000	99780	1200	100000	100000	100000	99939	
44	10000	99780	1200	100000	100000	100000	99939	
45	10000	99780	1200	100000	100000	100000	99939	
46	10000	99780	1200	100000	100000	100000	99939	
47	10000	99780	1200	100000	100000	100000	99939	
48	10000	99780	1200	100000	100000	100000	99939	
49	10000	99780	1200	100000	100000	100000	99939	
50	10000	99780	1200	100000	100000	100000	99939	
51	10000	99780	1200	100000	100000	100000	99939	
52	10000	99780	1200	100000	100000	100000	99939	
53	10000	99780	1200	100000	100000	100000	99939	
54	10000	99780	1200	100000	100000	100000	99939	
55	10000	99780	1200	100000	100000	100000	99939	
56	10000	99780	1200	100000	100000	100000	99939	
57	10000	99780	1200	100000	100000	100000	99939	
58	10000	99780	1200	100000	100000	100000	99939	
59	10000	99780	1200	100000	100000	100000	99939	
60	10000	99780	1200	100000	100000	100000	99939	
61	10000	99780	1200	100000	100000	100000	99939	
62	10000	99780	1200	100000	100000	100000	99939	
63	10000	99780	1200	100000	100000	100000	99939	
64	10000	99780	1200	100000	100000	100000	99939	
65	10000	99780	1200	100000	100000	100000	99939	
66	10000	99780	1200	100000	100000	100000	99939	
67	10000	99780	1200	100000	100000	100000	99939	
68	10000	99780	1200	100000	100000	100000	99939	
69	10000	99780	1200	100000	100000	100000	99939	
70	10000	99780	1200	100000	100000	100000	99939	
71	10000	99780	1200	100000	100000	100000	99939	
72	10000	99780	1200	100000	100000	100000	99939	
73	10000	99780	1200	100000	100000	100000	99939	
74	10000	99780	1200	100000	100000	100000	99939	
75	10000	99780	1200	100000	100000	100000	99939	
76	10000	99780	1200	100000	100000	100000	99939	
77	10000	99780	1200	100000	100000	100000	99939	
78	10000	99780	1200	100000	100000	100000	99939	
79	10000	99780	1200	100000	100000	100000	99939	
80	10000	99780	1200	100000	100000	100000	99939	
81	10000	99780	1200	100000	100000	100000	99939	
82	10000	99780	1200	100000	100000	100000	99939	
83	10000	99780	1200	100000	100000	100000	99939	
84	10000	99780	1200	100000	100000	100000	99939	
85	10000	99780	1200	100000	100000	100000	99939	
86	10000	99780	1200	100000	100000	100000	99939	
87	10000	99780	1200	100000	100000	100000	99939	
88	10000	99780	1200	100000	100000	100000	99939	
89	10000	99780	1200	100000	100000	100000	99939	
90	10000	99780	1200	100000	100000	100000	99939	
91	10000	99780	1200	100000	100000	100000	99939	
92	10000	99780	1200	100000	100000	100000	99939	
93	10000	99780	1200	100000	100000	100000	99939	
94	10000	99780	1200	100000	100000	100000	99939	
95	10000	99780	1200	100000	100000	100000	99939	
96	10000	99780	1200	100000	100000	100000	99939	
97	10000	99780	1200	99910	100000	100000	99939	
98	10000	99780	1200	99910	100000	100000	99939	
99	10000	99780	1200	99910	100000	100000	99939	
100	10000	99780	1200	99910	100000	100000	99939	
101	10000	99780	1200	99910	100000	100000	99939	
102	10000	99780	1200	99910	100000	100000	99939	
103	10000	99780	1200	99910	100000	100000	99939	
104	10000	99780	1200	99910	100000	100000	99939	
105	10000	99780	1200	99910	100000	100000	99939	
106	10000	99780	1200	99910	100000	100000	99939	
107	10000	99780	1200	99910	100000	100000	99939	
108	10000	99780	1200	99910	100000	100000	99939	
109	9988	99780	1200	99910	100000	100000	99939	
110	9988	99780	1200	99910	100000	100000	99939	
111	9988	99780	1200	99910	100000	100000	99939	
112	9988	99780	1200	99910	100000	100000	99939	
113	9988	99780	1200	99910	100000	100000	99939	
114	9988	99780	1200	99910	100000	100000	99939	
115	9988	99780	1200	99910	100000	100000	99939	
116	9988	99780	1200	99910	100000	100000	99939	
117	9988	99780	1200	99910	100000	100000	99939	
118	9988	99780	1200	99910	100000	100000	99939	
119	9988	99780	1200	99910	100000	100000	99939	
120	9988	99780	1200	99910	100000	100000	99939	
121	9988	99780	1200	99910	100000	100000	99939	
122	9988	99780	1200	99910	100000	100000	99939	
123	9988	99780	1200	99910	100000	100000	99939	
124	9988	99780	1200	99910	100000	100000	99939	
125	9988	99780	1200	99910	100000	100000	99939	
126	9988	99780	1200	99910	100000	100000	99939	
127	9988	99780	1200	99910	100000	100000	99939	
